field_1,MGRSid10,center_lon,center_lat,grid20id,Longitude,Latitude,ESy1,Location_u,Releve_are,PlantBert1,PlantBert2,SurveyID,year,FIRST_shor
282,34TDP34638482,20.183151299999999,44.113693499999997,34σDP14,20.183174999999999,44.113661000000000,?,10.000000000000000,100.000000000000000,R1A,R1P,SPlotOpen_1008015,2007,continental
3425,34TDP21992179,20.034405400000001,43.545028199999997,34σDP11,20.034440000000000,43.545000000000002,?,15.000000000000000,40.000000000000000,R1A,U27,SPlotOpen_226846,1992,continental
277,34TDN93241142,20.917716100000000,42.555193500000001,34σDN40,20.917700000000000,42.555211000000000,E11h,10.000000000000000,25.000000000000000,R1A,R1B,SPlotOpen_1007200,2007,continental
276,34TDN93390785,20.919584499999999,42.523044100000000,34σDN40,20.919574999999998,42.523071999999999,E11h,10.000000000000000,25.000000000000000,R1A,R1B,SPlotOpen_1007199,2007,continental
5088,34TFN45940453,22.775610700000001,42.479416600000000,34σFN20,22.775610000000000,42.479419999999998,?,10.000000000000000,16.000000000000000,V11,V12,SPlotOpen_313197,2009,continental
5090,34TFN47251819,22.795060800000002,42.602127699999997,34σFN20,22.795079999999999,42.602110000000003,E22,10.000000000000000,16.000000000000000,R22,U37,SPlotOpen_313237,2009,continental
3300,34TFN39130437,22.692755300000002,42.479229799999999,34σFN10,22.692730000000001,42.479219999999998,E11e,10.000000000000000,16.000000000000000,R16,R1A,SPlotOpen_221927,2008,continental
5082,34TFN43910589,22.751265900000000,42.492038800000003,34σFN20,22.751220000000000,42.492060000000002,E22,10.000000000000000,16.000000000000000,R22,V15,SPlotOpen_313031,2008,continental
3301,34TFN32664386,22.623293400000001,42.835855299999999,34σFN12,22.623270000000002,42.835839999999997,E12a,10.000000000000000,16.000000000000000,R1A,R1B,SPlotOpen_222096,2008,continental
259,34TFN14821841,22.399909600000001,42.609619899999998,34σFN00,22.399889000000002,42.609592999999997,E34a,10.000000000000000,,R35,N1H,SPlotOpen_1004097,1994,continental
3422,34TFN14173231,22.394783199999999,42.734857300000002,34σFN01,22.394729999999999,42.734859999999998,E34a,5.000000000000000,25.000000000000000,R35,Q54,SPlotOpen_226192,2002,continental
280,34TFN09342171,22.333751400000001,42.640127399999997,34σFN01,22.333804000000001,42.640118999999999,Y-Gra,10.000000000000000,100.000000000000000,R1M,R1A,SPlotOpen_1007629,2002,continental
260,34TFN08783129,22.328759600000001,42.726457000000003,34σFN01,22.328734000000001,42.726447000000000,E34a,10.000000000000000,100.000000000000000,R35,R55,SPlotOpen_1004116,2002,continental
278,34TFN12322974,22.371679799999999,42.711992700000003,34σFN01,22.371720000000000,42.711993000000000,E34a,10.000000000000000,,R35,R55,SPlotOpen_1007457,1994,continental
3423,34TFN07912285,22.316529800000001,42.650592799999998,34σFN01,22.316500000000001,42.650599999999997,D32,5.000000000000000,25.000000000000000,Q24,Q42,SPlotOpen_226240,2002,continental
3322,34TFM65223209,22.989513400000000,41.823515899999997,34σFM31,22.989460000000001,41.823520000000002,E21,10.000000000000000,16.000000000000000,R21,N1H,SPlotOpen_222285,2010,continental
3323,34TFM65223365,22.989948500000001,41.837558199999997,34σFM31,22.989989999999999,41.837550000000000,Y-Gra,10.000000000000000,16.000000000000000,R1A,U37,SPlotOpen_222290,2010,continental
3327,34TFM66016734,23.008973600000001,42.140642200000002,34σFM33,23.009029999999999,42.140639999999998,E12b!,10.000000000000000,16.000000000000000,R1B,U37,SPlotOpen_222325,2010,continental
3358,34TFM60956662,22.947577899999999,42.135216900000003,34σFM33,22.947550000000000,42.135190000000001,?,10.000000000000000,16.000000000000000,V32,V15,SPlotOpen_222635,2012,continental
3357,34TFM72745711,23.087340399999999,42.047112300000002,34σFM32,23.087370000000000,42.047080000000001,?,10.000000000000000,16.000000000000000,U37,V32,SPlotOpen_222633,2012,continental
3352,34TFM69125232,23.042244900000000,42.004785099999999,34σFM32,23.042200000000001,42.004759999999997,?,10.000000000000000,16.000000000000000,R1D,V38,SPlotOpen_222550,2012,continental
3326,34TFM66976576,23.020131599999999,42.126216900000003,34σFM33,23.020109999999999,42.126230000000000,E12b!,10.000000000000000,16.000000000000000,R1B,U37,SPlotOpen_222321,2010,continental
3325,34TFM66996579,23.020382000000001,42.126482699999997,34σFM33,23.020389999999999,42.126460000000002,Y-Gra,10.000000000000000,16.000000000000000,R1B,R16,SPlotOpen_222320,2010,continental
3320,34TFM48628834,22.804019000000000,42.333171999999998,34σFM24,22.804010000000002,42.333129999999997,E11i,10.000000000000000,16.000000000000000,R16,U37,SPlotOpen_222264,2010,continental
3466,34TFM36406987,22.651410200000001,42.169133000000002,34σFM13,22.651389000000002,42.169167000000002,Y-For,10.000000000000000,400.000000000000000,T17,R55,SPlotOpen_232603,2004,continental
3319,34TFM56327761,22.894536599999999,42.235080000000004,34σFM23,22.894580000000001,42.235109999999999,?,10.000000000000000,16.000000000000000,U37,R16,SPlotOpen_222232,2010,continental
3318,34TFM51355909,22.829525400000001,42.069345300000002,34σFM22,22.829509999999999,42.069360000000003,Y-Gra,10.000000000000000,16.000000000000000,R22,R21,SPlotOpen_222229,2010,continental
5080,34TFN82163139,23.224569400000000,42.713457400000003,34σFN41,23.224560000000000,42.713439999999999,E22,10.000000000000000,16.000000000000000,R22,T11,SPlotOpen_312987,2008,continental
3479,34TFN63264842,22.998838200000002,42.870975899999998,34σFN32,22.998870000000000,42.870980000000003,Y-Gra,3.000000000000000,,Q53,Q51,SPlotOpen_233082,1994,continental
3398,34TFP83393560,23.274135399999999,43.650826100000003,34σFP41,23.274149999999999,43.650829999999999,E12a,10.000000000000000,16.000000000000000,R1A,U37,SPlotOpen_224459,2014,continental
274,34TFP32400535,22.634783100000000,43.389388699999998,34σFP10,22.634747000000001,43.389378000000001,?,10.000000000000000,,R43,R1M,SPlotOpen_1006701,2005,continental
3501,34TFN99442373,23.432720900000000,42.640245600000000,34σFN41,23.432780000000001,42.640279999999997,E22,2.000000000000000,,R22,T11,SPlotOpen_234669,1998,continental
5092,34TFN95901861,23.387816999999998,42.595085099999999,34σFN40,23.387779999999999,42.595080000000003,E22,10.000000000000000,16.000000000000000,R22,R1A,SPlotOpen_313297,2009,continental
3483,34TFN87841699,23.289120700000002,42.582512199999996,34σFN40,23.289100000000001,42.582500000000003,?,1.000000000000000,,S23,S31,SPlotOpen_233397,1990,continental
3482,34TFN87841700,23.289124000000001,42.582602199999997,34σFN40,23.289100000000001,42.582599999999999,F24,1.000000000000000,,S26,T3J,SPlotOpen_233386,1990,continental
