field_1,MGRSid10,center_lon,center_lat,grid20id,Longitude,Latitude,ESy1,Location_u,Releve_are,PlantBert1,PlantBert2,SurveyID,year,FIRST_shor
221339,34TDP53967128,20.425877400000001,43.993265000000001,34σDP23,20.425868000000001,43.993228000000002,R,,25.000000000000000,U3A,U33,EVA2025_484871,2011,continental
129699,34TDP53976839,20.426252800000000,43.967246699999997,34σDP23,20.426314000000001,43.967261999999998,R1A,,100.000000000000000,R1A,U37,EVA2025_1666194,2007,continental
221338,34TDP53977131,20.425999600000001,43.993535700000002,34σDP23,20.425998000000000,43.993577999999999,R,,6.000000000000000,U37,U33,EVA2025_484868,2011,continental
221337,34TDP53977134,20.425996900000001,43.993805799999997,34σDP23,20.426007999999999,43.993788000000002,R,,25.000000000000000,R16,U37,EVA2025_484867,2011,continental
206077,34TDP54920924,20.443046899999999,43.434745399999997,34σDP20,20.443083000000001,43.434750000000001,R57,5.000000000000000,100.000000000000000,V15,R57,EVA2025_366303,2018,continental
206081,34TDP55170730,20.446295100000000,43.417292600000003,34σDP20,20.446306000000000,43.417306000000004,V12,5.000000000000000,100.000000000000000,V11,V12,EVA2025_366307,2018,continental
129707,34TDP55259049,20.440336899999998,44.166291399999999,34σDP24,20.440342999999999,44.166331999999997,R1A,,100.000000000000000,R1A,U37,EVA2025_1666209,2007,continental
129708,34TDP55369216,20.441570800000001,44.181332900000001,34σDP24,20.441569000000001,44.181320999999997,R1A,,100.000000000000000,R1A,U37,EVA2025_1666210,2007,continental
206080,34TDP54480849,20.437673000000000,43.427965800000003,34σDP20,20.437667000000001,43.427999999999997,R57,5.000000000000000,100.000000000000000,R57,V15,EVA2025_366306,2018,continental
206075,34TDP54740842,20.440890899999999,43.427351299999998,34σDP20,20.440943999999998,43.427360999999998,V38,5.000000000000000,100.000000000000000,V15,V38,EVA2025_366301,2018,continental
206079,34TDP54740934,20.440814600000000,43.435634899999997,34σDP20,20.440861000000002,43.435611000000002,V15,5.000000000000000,100.000000000000000,V15,R57,EVA2025_366305,2018,continental
