Observations	PlotObservationID
Danthonia alpina, Trifolium campestre, Achillea millefolium, Anthoxanthum odoratum, Filipendula vulgaris, Galium verum, Lotus corniculatus, Plantago lanceolata, Prunella vulgaris, Rhinanthus rumelicus, Thymus pulegioides, Trifolium alpestre, Agrostis capillaris, Aspilia floribunda, Centaurea stoebe, Centaurium erythraea, Chamaecytisus supinus, Eryngium campestre, Euphorbia cyparissias, Hypochaeris maculata, Prunella laciniata, Rosa, Sanguisorba minor, Trifolium patens, Trifolium pratense	1003658
Koeleria pyramidata, Festuca pseudovina, Genista sagittalis, Potentilla alba, Vicia cracca, Achillea millefolium, Campanula cervicaria, Campanula patula, Carex caryophyllea, Colchicum autumnale, Filipendula vulgaris, Pedicularis comosa, Polygala vulgaris, Potentilla hirta, Ranunculus montanus, Sanguisorba minor, Silene sendtneri, Stachys officinalis, Thlaspi praecox, Thymus pulegioides, Trifolium alpestre, Trifolium montanum, Veronica chamaedrys, Allium carinatum, Chamaecytisus hirsutus, Cruciata glabra, Dianthus carthusianorum, Galium aristatum, Galium verum, Lathyrus pratensis, Luzula campestris, Primula elatior, Scabiosa columbaria, Tanacetum corymbosum, Trifolium pannonicum	1003719
Cynosurus cristatus, Agrostis capillaris, Rhinanthus minor, Aira elegantissima, Anthoxanthum odoratum, Festuca rubra, Thymus serpyllum, Achillea millefolium, Anthyllis vulneraria, Asperula cynanchica, Briza media, Campanula patula, Centaurea jacea, Centaurea scabiosa, Cichorium intybus, Convolvulus arvensis, Dactylis glomerata, Danthonia alpina, Daucus carota, Echium vulgare, Euphrasia stricta, Galium verum, Genista sagittalis, Hypochaeris radicata, Juniperus communis, Leucanthemum vulgare, Lotus corniculatus, Malva moschata, Medicago falcata, Polygala comosa, Sanguisorba minor, Trifolium arvense, Trifolium ochroleucon, Trifolium patens, Trifolium repens, Viola arvensis	1003741
Agrostis capillaris, Polygala major, Achillea millefolium, Anthoxanthum odoratum, Carex caryophyllea, Cyanus triumfettii, Festuca rubra, Helianthemum nummularium, Hieracium hoppeanum, Persicaria bistorta, Polygala vulgaris, Rhinanthus serotinus, Seseli peucedanoides, Stachys officinalis, Thesium bavarum, Thymus serpyllum, Trifolium alpestre, Trifolium ochroleucon, Veratrum lobelianum, Carduus candicans, Carlina acaulis, Centaurea biebersteinii, Centaurea solstitialis, Euphorbia cyparissias, Festuca paniculata, Galium verum, Genista sagittalis, Hieracium cymosum, Lathyrus pratensis, Lilium carniolicum, Luzula campestris, Pedicularis heterodonta, Potentilla heptaphylla, Primula veris, Senecio papposus, Stellaria graminea, Verbascum longifolium, Vicia cracca, Viola tricolor	1003756
Bromus erectus, Agrostis capillaris, Anthyllis vulneraria, Asperula cynanchica, Carex caryophyllea, Cerastium banaticum, Cerastium moesiacum, Colchicum autumnale, Festuca rubra, Filipendula vulgaris, Helianthemum nummularium, Hypericum perforatum, Inula hirta, Koeleria pyramidata, Linum catharticum, Minuartia verna, Pedicularis heterodonta, Plantago media, Poa compressa, Polygala major, Potentilla heptaphylla, Primula veris, Rhinanthus minor, Rhinanthus serotinus, Teucrium chamaedrys, Thesium bavarum, Trifolium alpestre, Trifolium ochroleucon, Trifolium pratense, Trifolium repens, Veronica austriaca, Achillea millefolium, Acinos alpinus, Ajuga reptans, Arabis hirsuta, Asperula purpurea, Briza media, Campanula glomerata, Campanula patula, Centaurea phrygia, Cyanus nissanus, Euphorbia cyparissias, Galium album, Galium verum, Genista sagittalis, Geranium sanguineum, Gymnadenia conopsea, Helleborus dumetorum, Hieracium cymosum, Hypericum maculatum, Hypochaeris maculata, Lathyrus pratensis, Leontodon hispidus, Leucanthemum vulgare, Lotus corniculatus, Ranunculus montanus, Scabiosa columbaria, Senecio papposus, Seseli peucedanoides, Silene sendtneri, Stachys officinalis, Stachys recta, Thlaspi ochroleucum, Trifolium aureum, Veratrum lobelianum, Veratrum nigrum, Vicia hirsuta, Viola tricolor	1003764
Cynosurus cristatus, Anthoxanthum odoratum, Ranunculus montanus, Rhinanthus serotinus, Trifolium repens, Astrantia major, Briza media, Colchicum autumnale, Euphrasia rostkoviana, Gentiana utriculosa, Lotus corniculatus, Plantago media, Trifolium montanum, Viola tricolor, Anacamptis morio, Campanula patula, Carum carvi, Centaurea jacea, Cruciata laevipes, Gymnadenia conopsea, Helianthemum nummularium, Helleborus odorus, Pilosella pavichii, Polygala comosa, Rhinanthus rumelicus, Rumex acetosa, Sanguisorba minor, Veronica chamaedrys	1003839
Bromus erectus, Viola tricolor, Festuca valesiaca, Polygala comosa, Ranunculus bulbosus, Sanguisorba minor, Anthoxanthum odoratum, Leontodon hispidus, Leucanthemum vulgare, Linum catharticum, Lotus corniculatus, Plantago media, Silene italica, Thymus pulegioides, Trifolium montanum	1003848
Agrostis capillaris, Anthoxanthum odoratum, Euphorbia cyparissias, Festuca pratensis, Leucanthemum vulgare, Pilosella pavichii, Trifolium patens, Campanula patula, Filipendula vulgaris, Lathyrus sylvestris, Lotus corniculatus, Plantago lanceolata, Potentilla argentea, Prunella laciniata, Salvia verticillata, Securigera varia, Tragopogon duarius, Trifolium pratense, Trifolium repens	1003882
Bothriochloa ischaemum, Achillea seidlii, Chrysopogon gryllus, Dorycnium pentaphyllum, Festuca valesiaca, Pilosella officinarum, Trifolium ochroleucon, Anthemis arvensis, Anthoxanthum odoratum, Chamaecytisus hirsutus, Chondrilla juncea, Cota tinctoria, Dianthus giganteiformis, Eryngium campestre, Genista tinctoria, Helictotrichon pratense, Hieracium praealtum, Hypericum perforatum, Koeleria macrantha, Lepidium campestre, Orlaya grandiflora, Polygala comosa, Prunella laciniata, Rumex acetosa, Sanguisorba minor, Thymus pulegioides, Trifolium alpestre, Trifolium campestre, Trifolium pratense, Trifolium striatum, Veronica spicata	1003911
Festuca paniculata, Carex caryophyllea, Hieracium hoppeanum, Poa variegata, Thymus praecox, Brachypodium pinnatum, Carex kitaibeliana, Cruciata glabra, Genista tinctoria, Helianthemum nummularium, Hypericum maculatum, Luzula campestris, Luzula luzuloides, Persicaria bistorta, Trifolium alpestre, Anthoxanthum odoratum, Aspilia cachimboensis, Crocus veluchensis, Galium verum, Genista sagittalis, Ornithogalum collinum, Rumex acetosella, Sesleria caerulea, Silene sendtneri, Thesium bavarum, Veratrum lobelianum, Verbascum longifolium	1003945
